  id   | timestamp  | publishedat |                                                           title                                                            |                                                                                                                                                                                                                                                                                                                                                                  summary                                                                                                                                                                                                                                                                                                                                                                  |                                                                                               url                                                                                                |                                                                               urlToImage                                                                                | feedback |     entity     | score 
       |            |             |                                                                                                                            | Mientras, las ventas se vieron penalizadas por la caída del 5,1% de la división de construcción y se establecieron en 4.292 millones de euros en los nueve primeros meses del año, un 0,2% menos que en 2018.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | La construcción, que obtuvo unas ventas de 3.760 millones de euros (-5,1%) se vio lastrada por la mencionada provisión de 345 millones y el área de aeropuertos alcanzó los 2.600 millones de euros, un 4,1% más.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
 25562 | 2019-10-31 | 2019-10-31  | El beneficio neto de Iberdrola mejora un 20,4% y eleva un 10,6% su dividendo                                               | El beneficio neto de Iberdrola en los nueve primeros meses del año aumenta un 20,4%, hasta alcanzar los 2.516,7 millones de euros.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +| https://www.bolsamania.com/noticias/empresas/el-beneficio-de-iberdrola-sube-un-204-a-septiembre-gracias-a-extraordinarios--7098505.html                                                          | https://img5.s3wfg.com/web/img/images_uploaded/c/9/ep_iberdrola.jpg                                                                                                     |        0 | IBERDROLA      | 0.843
       |            |             |                                                                                                                            | Excluyendo los impactos de las operaciones de venta de los contratos de gas (+89 millones en margen bruto) y la fibra óptica (+49 millones en margen bruto y +114 millones en resultados activos no corrientes), el beneficio neto aumenta un 12,0%, alcanzando los 2.317,6 millones.                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
 25563 | 2019-10-31 | 2019-10-31  | El gasto del ERE de Caixabank provoca una caída del beneficio del 28% en un trimestre récord                               | Alcanzaron los 6.021 millones de euros en el año, un 2,9% más respecto al trimestre anterior.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +| https://www.elespanol.com/economia/empresas/20191031/gasto-ere-caixabank-provoca-beneficio-trimestre-record/440956163_0.html                                                                     | https://s3.eestatic.com/2019/05/08/economia/empresas/CaixaBank_La_Caixa-ERE_Expediente_de_regulacion_de_empleo-Banca-Empresas_396971659_122339225_640x240.jpg           |        0 | REPSOL         | 0.840
       |            |             |                                                                                                                            | Además, los gastos recurrentes descienden 1,3% en el trimestre tras las salidas indemnizadas de adhesión voluntaria, y el margen de intereses acumulado a septiembre, que refleja la evolución del negocio típicamente bancario, asciende a 3.720 millones, un 1,3% más respecto al mismo periodo de 2018, impactado principalmente por el incremento del volumen del crédito y los menores costes de financiación retail e institucional.                                                                                                                                                                                                                                                                                               +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | Según los datos del banco, la ratio de morosidad se redujo hasta septiembre hasta el 4,1% (-61 puntos básicos en 2019), y los saldos dudosos descendieron 1.242 millones en 2019 (-449 millones de euros en el trimestre), situándose en 9.953 millones.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
 25564 | 2019-10-31 | 2019-10-30  | Construcción y servicios lastran el resultado de Ferrovial que pierde 104 millones hasta septiembre                        | Las ventas alcanzan los 461 millones de euros (+31,8% en términos comparables), aumentando la contribución de las Managed Lanes de Texas, y un RBE con un sólido crecimiento del 40,6% en términos comparables, hasta los 332 millones de euros.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         +| https://www.elespanol.com/economia/empresas/20191030/construccion-servicios-lastran-resultado-ferrovial-millones-septiembre/440706829_0.html                                                     | https://s4.eestatic.com/2018/04/06/economia/empresas/Ferrovial-Rafael_del_Pino-Agencia_Tributaria-Empresas_297734312_72747328_640x240.jpg                               |        0 | FERROVIAL      | 0.837
       |            |             |                                                                                                                            | En construcción, las ventas llegan a los 3.760 millones de euros, un 5,1% menos que el mismo periodo del año anterior, muy centradas por otra parte en Estados Unidos y Polonia.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | El resultado bruto de la división se vio impactado por la provisión de 345 millones de euros para cubrir potenciales pérdidas en algunos proyectos debido al incremento de los precios en la subcontratación y de las materias primas, así como por la extensión de los periodos de aprobación de la fase de diseño.                                                                                                                                                                                                                                                                                                                                                                                                                     +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | En Servicios, las ventas se situaron en 5.247 millones de euros (+8,4% comparable) y el resultado bruto comparable alcanzó los 227 millones de euros (-3,2%, ex Birmingham).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +|                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
       |            |             |                                                                                                                            | Las ventas en Reino Unido aumentan un 14,7% ex Birmingham y en términos comparables, y el RBE logra los 11 millones de euros.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                  |                                                                                                                                                                         |          |                | 
 25565 | 2019-10-31 | 2019-10-31  | Indra implementará un peaje inteligente en EEUU por 75 millones de euros                                                   | Este contrato se suma al conseguido recientemente por Indra para implantar su tecnología en carreteras de Australia, que junto con proyectos para los túneles de Londres y Reino Unido confirman a la compañía como una de las líderes mundiales en smart mobility.                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | https://www.bolsamania.com/noticias/empresas/indra-75-millones-euros-eeuu-peaje-inteligente--7098824.html                                                                                        | https://img5.s3wfg.com/web/img/images_uploaded/f/a/ep_sede_de_la_compania_de_tecnologia_y_defensa_indra_en_alcobendas.jpg                                               |        0 | INDRA          | 0.833
 25566 | 2019-10-31 | 2019-10-31  | Repsol gana 1.466 millones hasta septiembre, un 32% menos                                                                  | El grupo presidido por Antonio Brufau generó estos beneficios en un contexto complicado de caída del precio del crudo y del gas y lastrado por esa ausencia de plusvalías respecto a 2018 y la menor valoración de los inventarios de hidrocarburos, que entre ambos tuvieron un impacto más 600 millones de euros en sus cuentas.                                                                                                                                                                                                                                                                                                                                                                                                        | https://www.elmundo.es/economia/empresas/2019/10/31/5dba9fb021efa02e778b45e9.html                                                                                                                | https://e00-elmundo.uecdn.es/assets/multimedia/imagenes/2019/10/31/15725118608191.jpg                                                                                   |        0 | ENI            | 0.827
